"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
-8.7039,-10.035,-6.3977,-9.0428,-8.1965,-6.801,-8.075,-3.3471,-5.8972,-5.5677,-2.5597,-4.891,-8.3431,-8.6704,-9.4785,-7.7827,-8.7288,-7.5699,-6.8398,-5.8102,-5.6695,-3.9179,-3.9988,-3.4039
-11.283,-12.37,-8.5256,-11.49,-9.8737,-9.4736,-10.549,-5.1984,-8.2915,-6.9189,-4.2612,-7.5181,-11.404,-11.913,-11.953,-10.887,-12.055,-9.8063,-9.8003,-7.5169,-8.6086,-6.1116,-5.6491,-6.1886
-10.424,-11.8,-7.6448,-10.349,-9.3002,-8.4489,-9.6054,-4.6269,-7.3112,-6.3742,-3.731,-7.4986,-10.857,-10.831,-11.83,-9.5579,-10.906,-8.9479,-8.5318,-7.3296,-7.7993,-4.8776,-5.3733,-5.4592
-10.718,-12.633,-7.3921,-10.467,-9.7564,-8.5173,-9.9027,-4.2872,-7.5789,-6.1358,-3.759,-7.2049,-11.261,-11.013,-12.054,-9.763,-10.896,-9.1894,-8.4612,-7.5699,-8.436,-5.5839,-5.9902,-6.0093
-9.9763,-12.399,-6.8744,-9.661,-10.569,-7.9655,-9.539,-4.1655,-7.068,-6.4147,-3.0902,-6.5109,-11.28,-10.468,-11.457,-9.292,-10.049,-8.7851,-7.5502,-7.7771,-7.8482,-4.659,-5.5074,-5.8308
-10.48,-12.936,-6.6717,-10.001,-11.1,-7.8644,-9.9396,-4.4095,-7.0776,-6.8518,-3.498,-6.2703,-11.825,-10.783,-12.124,-9.609,-9.9842,-9.2609,-7.5298,-7.5055,-7.9767,-4.2952,-5.3942,-5.771
-10.219,-13.326,-6.3186,-10.016,-11.284,-7.7767,-9.5695,-4.3349,-7.1495,-6.3961,-3.6633,-6.5115,-12.055,-10.452,-12.964,-9.585,-9.782,-9.5837,-7.6624,-7.9827,-8.09,-5.2217,-6.0219,-5.9318
-10.1,-13.558,-6.6984,-10.279,-11.772,-8.1754,-9.4572,-4.6103,-7.2386,-7.3707,-3.478,-6.897,-12.236,-10.605,-12.96,-9.7866,-9.8928,-9.5252,-7.897,-7.7914,-8.2755,-5.3597,-6.2125,-5.556
-10.302,-13.841,-6.8042,-10.13,-13.799,-8.0773,-9.2776,-4.937,-7.0621,-7.6895,-3.7543,-6.3325,-12.441,-10.526,-13.581,-9.6387,-9.7488,-9.5347,-8.1043,-8.9548,-8.5115,-5.3285,-5.6947,-5.9744
-10.153,-13.191,-6.2932,-9.8261,-12.878,-7.8988,-9.1576,-4.6059,-6.7982,-6.7487,-3.6275,-7.0926,-12.274,-9.7621,-14.006,-9.4765,-8.9148,-9.6584,-7.5513,-9.5059,-8.3541,-5.7215,-6.0569,-5.8255
-10.908,-11.893,-6.9069,-10.571,-10.008,-8.6814,-9.8803,-4.9296,-8.0775,-7.0357,-4.7889,-8.5247,-12.678,-10.799,-11.922,-10.955,-9.4451,-9.7259,-7.9039,-8.5563,-9.1595,-5.8816,-7.3869,-6.7165
-11.593,-11.684,-7.5268,-10.957,-9.8916,-9.5509,-10.197,-5.753,-8.322,-7.6463,-5.2109,-8.1047,-13.409,-11.505,-11.437,-11.803,-10.069,-10.482,-8.5139,-9.05,-9.7365,-6.0478,-8.3261,-7.2397
-10.979,-11.477,-6.8838,-10.554,-9.6808,-8.7815,-9.9986,-4.9411,-7.9354,-7.1946,-4.4373,-7.4413,-12.691,-10.293,-11.185,-10.783,-9.0409,-10.305,-7.6871,-8.459,-8.9387,-5.2506,-8.1108,-6.3436
-10.409,-11.501,-6.7473,-10.063,-9.8737,-8.7609,-9.8562,-4.7929,-7.0352,-7.579,-3.3555,-7.0201,-12.348,-9.2262,-10.92,-10.301,-8.7474,-10.225,-7.5562,-8.4136,-8.576,-4.9436,-7.3832,-6.6613
-9.7372,-11.434,-6.2862,-9.8191,-9.2674,-8.4023,-9.3083,-4.4908,-6.9237,-6.845,-3.492,-7.2163,-11.641,-8.2458,-10.43,-9.7505,-8.4371,-9.9329,-7.2701,-8.0545,-8.5031,-4.787,-7.2306,-5.9008
-8.7312,-11.141,-5.4058,-9.541,-9.3439,-7.5482,-9.1058,-3.904,-6.9945,-6.1017,-3.3843,-7.2098,-10.397,-6.4467,-10.747,-8.7343,-7.0602,-9.772,-6.7282,-8.6461,-7.9699,-4.0399,-6.8834,-5.4171
-8.1719,-10.785,-4.8591,-8.9933,-8.8024,-7.1728,-8.2029,-3.4995,-5.9819,-5.2526,-2.2581,-5.6039,-10.556,-5.6178,-10.908,-8.6448,-6.0075,-9.6729,-6.2849,-8.4939,-7.3833,-3.6705,-6.6185,-4.6457
-7.7544,-10.587,-4.5086,-8.4478,-8.477,-6.9512,-7.6371,-3.4359,-5.6633,-4.8242,-1.787,-5.131,-10.379,-5.224,-10.854,-8.0418,-5.4778,-9.6902,-6.2765,-7.5368,-7.2119,-3.5537,-6.6092,-4.2411
-7.1935,-9.765,-4.3537,-7.705,-7.842,-6.4233,-6.9023,-3.2265,-5.159,-4.5815,-2.3181,-4.8392,-9.8184,-4.4021,-10.887,-7.9095,-5.0176,-9.5154,-5.5063,-7.6553,-6.8449,-3.3757,-5.6208,-4.4044
