"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
-2.2159,-2.3936,-1.8384,-2.5321,-1.9586,-1.2717,-1.0796,-0.73024,-1.2251,-1.7111,-0.39428,-0.44048,-1.3856,-1.4947,-2.3486,-1.6234,-1.5415,-1.5639,-1.7506,-1.9234,-1.5221,-0.4355,-1.0583,-0.73132
-2.2846,-2.2035,-1.9249,-2.4571,-1.6233,-1.49,-1.0064,-0.65055,-1.2399,-1.49,-0.21721,-0.70654,-1.512,-1.5638,-2.601,-1.5533,-1.6737,-1.4149,-1.6979,-1.9135,-1.4064,-0.49893,-0.94548,-0.65871
-2.2283,-2.2132,-1.8012,-2.1405,-1.5253,-1.4184,-0.9069,-0.63413,-1.1549,-1.4124,-0.15505,-1.0195,-1.5746,-1.5552,-2.5283,-1.3602,-1.5576,-1.2573,-1.5217,-1.5956,-1.2885,-0.45273,-0.88289,-0.54119
-2.0542,-2.1538,-1.5105,-1.8983,-1.4828,-1.2135,-0.95957,-0.48855,-1.0258,-1.2659,-0.04953,-0.86619,-1.5729,-1.485,-2.2463,-1.2186,-1.2782,-1.2591,-1.2736,-1.4544,-1.2519,-0.22272,-0.9123,-0.52468
-1.6644,-1.8753,-1.0784,-1.5932,-1.5763,-0.86383,-0.83047,-0.25375,-0.74981,-1.0302,0.15873,-0.23951,-1.5246,-1.2634,-1.9849,-1.0296,-0.95722,-0.93055,-0.81036,-1.381,-0.92629,-0.05647,-0.5947,-0.24966
-1.5772,-2.0172,-0.86452,-1.482,-1.7329,-0.72102,-0.88417,-0.33594,-0.65843,-0.98378,0.25577,-0.21154,-1.5411,-1.227,-2.0674,-0.92661,-0.91668,-0.72902,-0.65648,-1.2362,-0.81495,-0.040504,-0.45438,-0.24134
-1.6019,-2.11,-0.8769,-1.4353,-1.7766,-0.70997,-0.87918,-0.35185,-0.71286,-1.0126,0.12125,-0.51228,-1.5596,-1.1421,-1.9692,-1.032,-0.92868,-0.71708,-0.63425,-1.1957,-0.83991,-0.12415,-0.55932,-0.22426
-1.7569,-2.193,-1.1325,-1.6021,-1.9099,-0.92767,-0.87991,-0.4337,-0.80057,-1.076,-0.036525,-0.58876,-1.5476,-1.3629,-1.9881,-1.2587,-1.1139,-0.86212,-0.92224,-1.1445,-1.0119,-0.30467,-0.68481,-0.35169
-1.9408,-2.3525,-1.2825,-1.7004,-2.1382,-1.0888,-0.89216,-0.63379,-0.87179,-1.1433,-0.3119,-0.63828,-1.5458,-1.6066,-1.9395,-1.2952,-1.2802,-1.1322,-1.1649,-1.1856,-1.1277,-0.48838,-0.98161,-0.45979
-2.0484,-2.4684,-1.2788,-1.6969,-2.2334,-1.1817,-1.0177,-0.80035,-0.96364,-1.2849,-0.58284,-1.1236,-1.7133,-1.6041,-1.8681,-1.5391,-1.3108,-1.1758,-1.1514,-1.4106,-1.2235,-0.68952,-1.129,-0.6858
