"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
-5.8565,-6.2879,-4.2197,-6.0177,-5.6802,-5.3562,-6.8406,-3.3466,-4.9442,-4.4293,-3.0026,-5.7751,-6.0563,-7.0693,-4.5297,-6.3639,-6.8184,-4.5548,-5.4353,-1.7592,-5.2895,-4.0139,-2.8766,-4.062
-6.8652,-7.2375,-5.0403,-6.9304,-6.4323,-6.3999,-7.7413,-4.3532,-6.0061,-5.1794,-3.5672,-6.4005,-7.2653,-8.3348,-5.5796,-7.7927,-8.1128,-5.6586,-6.965,-3.0356,-6.779,-5.6475,-3.8861,-5.147
-6.6378,-6.9003,-5.0278,-6.6413,-5.8494,-6.1029,-7.1008,-4.2992,-5.7063,-4.6031,-3.6704,-5.8561,-6.9659,-8.0108,-5.3932,-7.4757,-7.9124,-5.1895,-7.0227,-2.8386,-6.4286,-4.9187,-3.7145,-4.9816
-6.994,-7.4647,-5.2427,-6.9728,-6.5735,-6.3702,-7.6113,-4.5223,-5.894,-5.0565,-3.8011,-6.1978,-7.285,-8.1688,-6.0739,-7.5557,-8.1216,-5.2957,-6.8871,-3.4109,-6.5791,-4.3701,-3.8295,-5.6116
-6.6016,-7.35,-4.703,-6.6189,-6.3428,-5.9625,-7.292,-4.1863,-5.4002,-4.7595,-3.4296,-5.8832,-7.1121,-7.6103,-6.1421,-6.9948,-7.5043,-5.1709,-6.3591,-3.6487,-6.1803,-4.6834,-3.5275,-4.6575
-6.7217,-7.4841,-4.6766,-6.7569,-6.2985,-5.9872,-7.2316,-4.0302,-5.4221,-4.5645,-3.3301,-6.1904,-7.1475,-7.6108,-6.0438,-7.0285,-7.5591,-5.1448,-6.5588,-3.2083,-6.3971,-4.5048,-3.8475,-5.247
-6.7165,-7.7407,-4.7498,-6.7104,-6.5661,-6.0256,-7.1646,-3.9941,-5.4058,-4.5123,-3.3948,-5.6359,-7.2579,-7.4229,-6.2875,-7.0078,-7.4591,-5.4327,-6.1849,-3.8978,-6.3701,-4.8355,-3.7235,-5.2048
-6.5991,-8.0013,-4.7152,-6.4857,-7.1301,-5.954,-7.1466,-4.037,-5.3693,-4.7977,-3.4443,-5.6582,-7.374,-7.3466,-6.3446,-6.9264,-7.3364,-5.5514,-6.068,-4.1951,-6.1648,-4.9078,-4.132,-5.546
-6.6529,-8.0097,-4.7763,-6.4452,-7.4873,-5.9278,-7.1999,-4.4277,-5.2926,-5.1325,-3.0609,-5.9639,-7.7076,-7.5101,-6.4926,-7.0678,-7.4158,-5.6906,-6.1897,-4.157,-6.221,-4.165,-4.0093,-5.4417
-6.871,-8.2112,-4.8255,-6.5798,-7.6291,-5.853,-7.2087,-4.4396,-5.2968,-5.1906,-3.3324,-5.9888,-7.8881,-7.5543,-6.7398,-7.1889,-7.4498,-5.8968,-5.9402,-3.9882,-6.2994,-4.4288,-3.9205,-5.1155
