"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
-1.7242,-2.4825,-1.1032,-1.636,-1.6029,-1.1816,-1.4585,0.12579,-0.66246,-0.23323,0.19309,0.11135,-1.9443,-1.4094,-3.3179,-0.91213,-1.6804,-2.1708,-0.57815,-2.2165,0.20807,0.00076243,-0.54908,0.57135
-1.7432,-2.5683,-1.1666,-1.7576,-1.6658,-1.286,-1.6395,0.12913,-0.77423,-0.21994,-0.079896,-0.37087,-2.3332,-1.6568,-3.4097,-1.2055,-1.7986,-2.666,-0.63559,-2.3485,-0.17368,-0.20525,-0.6256,0.046351
-1.6971,-2.4836,-1.1037,-1.6724,-1.5902,-1.1512,-1.5926,0.16461,-0.83459,-0.31367,-0.19809,-0.63566,-2.3555,-1.7772,-3.3985,-1.2937,-1.905,-2.7262,-0.65151,-2.3875,-0.44088,-0.21222,-1.0317,-0.059003
-1.7704,-2.6044,-1.0481,-1.6724,-1.6842,-1.1384,-1.6011,0.28247,-1.0132,-0.20587,-0.19154,-0.29701,-2.3334,-1.8874,-3.3902,-1.3852,-1.9416,-2.3844,-0.69624,-2.317,-0.70059,-0.35307,-1.1007,-0.11961
-1.728,-2.5596,-0.98155,-1.6802,-1.6888,-1.1995,-1.6528,0.36312,-1.021,-0.49074,-0.034007,-0.46761,-2.2411,-1.853,-3.0462,-1.3113,-1.7193,-2.2339,-0.68614,-2.1987,-0.74843,-0.099305,-0.84866,-0.17172
-1.868,-2.69,-0.9754,-1.7928,-1.8248,-1.262,-1.8408,0.19268,-1.093,-0.64259,-0.21304,-0.071231,-2.2625,-1.8432,-3.1961,-1.2909,-1.5402,-2.3846,-0.7163,-2.1021,-0.80158,0.24316,-0.75646,-0.20416
-1.5575,-3.1009,-0.88832,-1.8722,-2.0739,-1.195,-1.7369,0.14108,-1.1962,-0.61461,-0.11899,-0.39978,-2.351,-1.7075,-3.8853,-1.2897,-1.4879,-2.4894,-0.72935,-1.9725,-0.80041,-0.15337,-0.72907,-0.14776
-1.4288,-3.423,-0.70615,-1.8827,-2.9496,-0.93206,-1.6342,0.21452,-0.94652,-1.5317,0.13678,-0.21306,-2.5067,-1.647,-3.8286,-1.2338,-1.2341,-2.2663,-0.74908,-2.2572,-0.66395,0.16075,-0.61435,-0.048358
-1.5144,-3.0818,-0.41498,-1.7129,-2.8943,-0.72836,-1.5644,0.33494,-0.6872,-1.1944,0.16054,0.052342,-2.4383,-1.4389,-3.8962,-1.14,-0.76791,-2.0152,-0.50576,-2.0431,-0.55846,0.14394,-0.50617,-0.16643
-1.5858,-2.5585,-0.49524,-1.6213,-2.1546,-0.88711,-1.6706,0.33614,-0.71375,-0.59709,0.13438,-0.49285,-2.4355,-1.3419,-3.9478,-1.2179,-0.75368,-2.1556,-0.50961,-1.9397,-0.72363,-0.0061092,-0.66116,-0.35251
